data__id,data__name,data__league_id,data__is_current_season,data__current_round_id,data__current_stage_id,data__fixtures__data__id,data__fixtures__data__league_id,data__fixtures__data__season_id,data__fixtures__data__stage_id,data__fixtures__data__round_id,,,data__fixtures__data__venue_id,data__fixtures__data__referee_id,data__fixtures__data__localteam_id,data__fixtures__data__visitorteam_id,data__fixtures__data__winner_team_id,data__fixtures__data__weather_report,data__fixtures__data__weather_report__code,data__fixtures__data__weather_report__type,data__fixtures__data__weather_report__icon,data__fixtures__data__weather_report__temperature__temp,data__fixtures__data__weather_report__temperature__unit,data__fixtures__data__weather_report__temperature_celcius__temp,data__fixtures__data__weather_report__temperature_celcius__unit,data__fixtures__data__weather_report__clouds,data__fixtures__data__weather_report__humidity,data__fixtures__data__weather_report__pressure,data__fixtures__data__weather_report__wind__speed,data__fixtures__data__weather_report__wind__degree,data__fixtures__data__weather_report__coordinates__lat,data__fixtures__data__weather_report__coordinates__lon,data__fixtures__data__weather_report__updated_at,data__fixtures__data__commentaries,data__fixtures__data__attendance,data__fixtures__data__pitch,data__fixtures__data__details,data__fixtures__data__neutral_venue,data__fixtures__data__winning_odds_calculated,data__fixtures__data__formations__localteam_formation,data__fixtures__data__formations__visitorteam_formation,data__fixtures__data__scores__localteam_score,data__fixtures__data__scores__visitorteam_score,data__fixtures__data__scores__localteam_pen_score,data__fixtures__data__scores__visitorteam_pen_score,data__fixtures__data__scores__ht_score,data__fixtures__data__scores__ft_score,data__fixtures__data__scores__et_score,data__fixtures__data__scores__ps_score,data__fixtures__data__time__status,data__fixtures__data__time__starting_at__date_time,data__fixtures__data__time__starting_at__date,data__fixtures__data__time__starting_at__time,data__fixtures__data__time__starting_at__timestamp,data__fixtures__data__time__starting_at__timezone,data__fixtures__data__time__minute,data__fixtures__data__time__second,data__fixtures__data__time__added_time,data__fixtures__data__time__extra_minute,data__fixtures__data__time__injury_time,data__fixtures__data__coaches__localteam_coach_id,data__fixtures__data__coaches__visitorteam_coach_id,data__fixtures__data__standings__localteam_position,data__fixtures__data__standings__visitorteam_position,data__fixtures__data__assistants__first_assistant_id,data__fixtures__data__assistants__second_assistant_id,data__fixtures__data__assistants__fourth_official_id,data__fixtures__data__leg,data__fixtures__data__colors,data__fixtures__data__colors__|,data__fixtures__data__colors__|__color,data__fixtures__data__colors__|__kit_colors,data__fixtures__data__deleted,,
16036,2019/2020,8,TRUE,169665,77443862,11867226,8,16036,77443862,169652,,,230,15273,8,33,8,,rain,heavy intensity shower rain,https://cdn.sportmonks.com/images/weather/09n.png,63.73,fahrenheit,17.6,celcius,40%,88%,992,16.11 m/s,170,53.41,-2.98,2019-08-09T20:45:02.823282Z,TRUE,53333,null,null,FALSE,TRUE,04/03/2003,4-2-3-1,4,1,null,null,4-0,04-Jan,null,null,FT,09/08/2019 19:00,09/08/2019,19:00:00,1565377200,UTC,90,null,null,null,null,455353,460535,10,14,12767,12769,13529,01-Jan,,localteam,#C40010,"#C40010,#C40010,#C40010,#C40010,#A71212,#A71212,#C40010",FALSE,started_at,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,visitorteam,#FFDF1B,"#FBED32,#FBED32,#FBED32,#316F37,#999999,#888888,#316F37",,trial_ends_at,
,,,,,,11867227,8,16036,77443862,169652,,,214,15241,1,9,9,,clouds,broken clouds,https://cdn.sportmonks.com/images/weather/04d.png,68.9,fahrenheit,20.5,celcius,75%,56%,1004,26.4 m/s,230,51.51,-0.13,2019-08-10T13:15:05.352282Z,TRUE,59870,null,null,FALSE,TRUE,4-2-3-1,04/03/2003,0,5,null,null,0-1,0-5,null,null,FT,10/08/2019 11:30,10/08/2019,11:30:00,1565436600,UTC,90,null,null,null,null,523898,455361,18,11,33340,14665,14012,01-Jan,,localteam,#832034,"#C0D6FE,#C0D6FE,#832034,#832034,#999999,#888888,#832034",FALSE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,visitorteam,#0C183A,"#0C183A,#0C183A,#0A0A0A,#0C183A,#0A0A0A,#0046A8,#0C183A",,,
,,,,,,11867228,8,16036,77443862,169652,,,146,15242,52,21,null,,rain,shower rain,https://cdn.sportmonks.com/images/weather/09d.png,67.41,fahrenheit,19.7,celcius,75%,68%,1009,25.28 m/s,240,50.72,-1.88,2019-08-10T15:45:03.774817Z,TRUE,10714,null,null,FALSE,TRUE,3-4-2-1,03/05/2002,1,1,null,null,0-0,01-Jan,null,null,FT,10/08/2019 14:00,10/08/2019,14:00:00,1565445600,UTC,90,null,null,null,null,523911,455400,2,14,12019,12715,13545,01-Jan,,localteam,#C40010,"#C40010,#0A0A0A,#5B0623,#0A0A0A,#5C8FAE,#FFDF1B,#0A0A0A",FALSE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,visitorteam,#F0F0F0,"#F0F0F0,#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#0046A8,#F0F0F0",,,
,,,,,,11867229,8,16036,77443862,169652,,,200,13529,27,65,27,,rain,shower rain,https://cdn.sportmonks.com/images/weather/09d.png,62.96,fahrenheit,17.2,celcius,40%,88%,996,20.8 m/s,230,53.79,-2.24,2019-08-10T15:45:03.785753Z,TRUE,19784,null,null,FALSE,TRUE,04/04/2002,3-4-2-1,3,0,null,null,0-0,3-0,null,null,FT,10/08/2019 14:00,10/08/2019,14:00:00,1565445600,UTC,90,null,null,null,null,455461,524297,6,15,12096,12088,13678,01-Jan,,localteam,#881319,"#79ADE2,#881319,#881319,#79ADE2,#5C8FAE,#FFDF1B,#F0F0F0",FALSE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,visitorteam,#666666,"#666666,#FBED32,#666666,#666666,#C40010,#0046A8,#FBED32",,,
,,,,,,11867230,8,16036,77443862,169652,,,201,13533,51,13,null,,rain,shower rain,https://cdn.sportmonks.com/images/weather/09d.png,68.32,fahrenheit,20.2,celcius,75%,60%,1006,25.28 m/s,230,51.51,-0.13,2019-08-10T15:45:03.805679Z,TRUE,25151,null,null,FALSE,TRUE,04/04/2002,4-2-3-1,0,0,null,null,0-0,0-0,null,null,FT,10/08/2019 14:00,10/08/2019,14:00:00,1565445600,UTC,90,null,null,null,null,4592176,455424,8,9,12025,12245,13674,01-Jan,,localteam,#0046A8,"#C40010,#0046A8,#C40010,#C40010,#999999,#888888,#0046A8",FALSE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,visitorteam,#F0F0F0,"#F0F0F0,#F0F0F0,#F0F0F0,#F0F0F0,#C40010,#0046A8,#0C183A",,,
