FTR,PRED,FAVE,,B365H,B365D,B365A
H,A,A,,3.25,3.4,2.14
H,A,H,,2,3.4,3.75
A,H,H,,1.55,4,6
H,H,H,,1.5,4.5,5.75
A,H,H,,1.33,5,8.5
D,H,H,,1.85,3.6,4
H,H,A,,3.3,3.2,2.25
A,A,A,,4.75,4,1.66
H,H,H,,1.33,4.75,10
A,A,A,,10,5.25,1.3
H,H,H,,1.33,5.75,9.5
A,A,A,,7.5,4.5,1.5
A,H,H,,2,3.5,4.2
D,H,H,,2.6,3.6,2.75
D,H,H,,1.28,6.5,11
A,A,H,,2.14,3.1,4.2
A,A,A,,6,4.2,1.61
D,H,H,,1.95,3.75,4
A,H,H,,2,3.4,4.33
H,H,H,,2.04,3.8,3.6
A,A,A,,11,6,1.3
H,H,H,,2.4,3.3,3.25
D,H,H,,2.25,3.25,3.6
H,H,H,,1.22,7,15
A,H,H,,2.25,3.4,3.5
A,H,H,,1.95,3.5,4.33
H,A,A,,3.5,4,2.05
H,H,H,,1.75,4,4.8
A,H,H,,2.05,3.7,3.75
H,H,H,,1.18,8,17
H,H,A,,3.1,3.6,2.37
H,H,H,,2.37,3.7,3
H,H,H,,1.2,7.5,17
H,H,H,,1.3,5.75,12
H,H,H,,1.95,3.4,4.5
H,H,A,,2.75,3.4,2.7
D,H,H,,1.65,4,5.75
H,H,H,,2.37,3.2,3.4
A,A,A,,5.25,3.8,1.75
A,A,A,,21,8.5,1.16
H,H,H,,1.22,7,15
H,H,H,,2.37,3.3,3.3
A,A,A,,4,3.3,2.1
D,H,H,,1.28,6,12
H,A,A,,19,8,1.18
H,H,H,,2.1,3.5,3.75
H,H,A,,5.25,4.2,1.66
D,H,H,,1.22,7,15
D,A,H,,2.4,3.4,3.2
H,H,H,,1.66,4,5.75
D,H,H,,2.55,3.3,3
D,H,H,,2.55,3.5,2.87
H,A,A,,3.25,3.5,2.3
H,H,H,,1.2,7.5,19
H,H,H,,2.05,3.5,4
A,H,H,,2.37,3.4,3.25
H,H,H,,1.44,4.5,9
A,H,A,,3.6,3.5,2.15
H,H,H,,1.33,6,9
D,A,A,,8,5.25,1.4
A,A,A,,10,6.25,1.3
A,H,H,,2.05,3.3,4.2
D,H,H,,2.1,3.5,3.75
A,A,A,,5.5,4.4,1.61
A,A,A,,5.75,4.4,1.6
H,H,H,,1.22,7.5,14
A,A,H,,1.75,3.9,5
H,H,H,,2.35,3.5,3.2
H,H,H,,1.5,4.75,7
H,H,H,,1.7,3.9,5.5
D,H,H,,1.7,3.75,5.75
A,H,A,,3.1,3.4,2.45
H,H,H,,1.95,3.8,4
D,H,A,,2.87,3.4,2.62
H,A,A,,5.75,3.8,1.7
A,H,H,,2.25,3.4,3.5
H,H,H,,1.83,3.5,5.25
H,H,H,,1.5,4.75,7
D,D,A,,3.1,3.5,2.37
A,A,A,,3.75,3.4,2.15
H,A,A,,5,3.5,1.85
H,H,H,,1.9,3.5,4.6
H,H,H,,2.15,3.3,3.9
H,H,H,,1.44,5,7.5
H,D,H,,2.3,3.5,3.25
A,A,A,,3.25,3.5,2.3
H,H,H,,1.28,6,12
H,H,H,,1.16,9,19
H,H,H,,1.9,3.7,4.33
A,A,A,,13,7.5,1.22
H,H,H,,1.85,3.4,5.25
A,H,A,,2.8,3.3,2.75
H,H,H,,1.45,4.5,8.5
D,H,H,,2.05,3.7,3.75
H,H,H,,2.15,3.5,3.6
H,H,H,,1.5,4.33,8
D,A,A,,6,4.2,1.61
A,A,A,,6.5,4.5,1.53
H,H,H,,2.55,3.3,3
H,A,A,,3.6,3.5,2.15
A,H,H,,1.83,3.6,5
A,A,A,,3.4,3.3,2.35
H,H,H,,1.57,4.5,6
H,H,H,,1.16,9,19
H,H,HA,,2.8,3.25,2.8
H,A,A,,4.5,3.8,1.85
H,H,H,,2.4,3.6,3
D,H,H,,1.55,4.2,7
H,H,H,,1.16,8.5,21
D,D,H,,2.05,3.6,3.8
A,H,A,,3.1,3.4,2.45
H,H,H,,1.55,4.2,7
H,D,A,,4,3.8,1.95
A,A,A,,12,7,1.25
A,H,H,,2.55,3.2,3.1
H,H,A,,3.2,3.25,2.45
H,H,H,,1.45,4.4,9
A,A,A,,21,11,1.12
H,H,H,,1.85,3.8,4.5
H,H,H,,1.44,4.75,8
A,A,H,,2.55,3.5,2.9
A,A,A,,9,4.5,1.44
H,H,H,,1.61,4.2,6
H,H,H,,1.36,5.25,9.5
H,H,H,,1.72,4,5
H,A,A,,4,3.6,2
H,H,H,,1.25,6.5,15
H,H,H,,1.06,17,34
H,H,H,,1.45,5,7.5
A,A,A,,9,5,1.4
A,H,H,,2.1,3.6,3.75
A,A,A,,5,4,1.72
A,H,H,,2.6,3.25,3
H,D,A,,3,3.75,2.35
H,H,H,,1.33,5.75,9.5
A,H,H,,1.66,4,5.75
A,H,H,,2.3,3.4,3.4
H,H,H,,1.9,3.6,4.5
H,A,A,,5,4,1.75
H,H,H,,1.4,5.25,8.5
H,H,H,,2.6,3.25,3
H,H,H,,1.22,7,15
A,A,A,,11,6,1.3
H,D,H,,1.66,4.2,5.25
A,A,A,,3.2,3.75,2.25
A,H,H,,2,3.3,4.5
A,H,H,,1.65,4.4,5.25
A,D,A,,4.4,3.9,1.85
H,D,H,,1.3,6,11
H,H,H,,2.55,3.2,3.1
D,H,A,,3.3,3.5,2.3
D,H,H,,1.75,3.5,6
A,H,H,,1.53,4.6,6.5
A,A,A,,17,7.5,1.2
H,A,A,,3.25,3.5,2.3
D,H,H,,1.25,6.25,15
H,H,H,,1.28,6,13
D,H,H,,2.25,3.5,3.4
A,A,A,,7.5,5,1.44
H,A,A,,2.9,3.5,2.55
H,H,H,,1.07,15,41
D,D,H,,2.3,3.2,3.6
D,D,H,,2.62,3.5,2.8
H,D,H,,2.4,3.6,3
D,D,H,,1.9,3.9,4.1
A,H,H,,1.4,5.5,7.5
A,H,H,,2.62,3.3,2.9
A,A,A,,23,9,1.14
H,D,A,,2.75,3.6,2.6
D,D,HA,,2.7,3.5,2.7
H,H,H,,1.66,4,5.75
H,H,A,,4,4,1.9
A,D,H,,2.6,3.75,2.7
A,A,A,,9.5,5.25,1.36
H,H,H,,2.3,3.75,3.1
H,H,H,,1.53,4.2,7.5
D,H,H,,1.4,5,9
H,H,H,,1.4,5.25,8
D,A,A,,11,6,1.3
H,H,H,,1.12,8.5,17
A,A,A,,19,8.5,1.16
A,A,A,,3.25,3.8,2.2
H,H,H,,1.9,4.2,3.8
A,A,H,,2.5,3.6,2.9
D,A,H,,2.4,3.75,2.9
H,H,H,,1.3,6,11
A,H,H,,1.28,6.5,11
D,H,H,,1.44,4.75,8.5
D,H,H,,2.2,3.5,3.5
A,H,H,,2.25,3.75,3.2
,,109/190,,,,
,60%,57%,,,,
