Team,2011,2012,2013,2014,2015,2016,2017,2018,2019
Arsenal,4,3,4,4,3,2,5,6,5
Aston Villa,9,16,15,15,17,20,,,
Birmingham,18,,,,,,,,
Blackburn,15,19,,,,,,,
Blackpool,19,,,,,,,,
Bolton,14,18,,,,,,,
Bournemouth,,,,,,16,9,12,14
Brighton,,,,,,,,15,17
Burnley,,,,,19,,16,7,15
Cardiff,,,,20,,,,,18
Chelsea,2,6,3,3,1,10,1,5,3
Crystal Palace,,,,11,10,15,14,11,12
Everton,7,7,6,5,11,11,7,8,8
Fulham,8,9,12,19,,,,,19
Huddersfield,,,,,,,,16,20
Hull,,,,16,18,,18,,
Leicester,,,,,14,1,12,9,9
Liverpool,6,8,7,2,6,8,4,4,2
Man City,3,1,2,1,2,4,3,1,1
Man United,1,2,1,7,4,5,6,2,6
Middlesbrough,,,,,,,19,,
Newcastle,12,5,16,10,15,18,,10,13
Norwich,,12,11,18,,19,,,
QPR,,17,20,,,,,,
Reading,,,19,,20,,,,
Sheffield United,,,,,,,,,
Southampton,,,14,8,7,6,8,17,16
Stoke,13,14,13,9,9,9,13,19,
Sunderland,10,13,17,14,16,17,20,,
Swansea,,11,9,12,8,12,15,18,
Tottenham,5,4,5,6,5,3,2,3,4
Watford,,,,,,13,17,14,11
West Brom,11,10,8,17,13,14,10,20,
West Ham,20,,10,13,12,7,11,13,10
Wigan,16,15,18,,,,,,
Wolves,17,20,,,,,,,7
